Apt_id,displayAddress,bathrooms,bedrooms,addedOn,type,price,verified,priceDuration,sizeMin,furnishing
1,"Binghatti Canal, Business Bay, Dubai",3,2,2024-08-14T12:02:53Z,Residential for Sale,2500000,TRUE,sell,1323 sqft,NO
2,"La Vie, Jumeirah Beach Residence, Dubai",3,2,2024-08-13T05:45:16Z,Residential for Sale,7200000,TRUE,sell,1410 sqft,YES
3,"La Rosa 6, Villanova, Dubai Land, Dubai",3,4,2024-08-14T06:24:28Z,Residential for Sale,3600000,TRUE,sell,2324 sqft,NO
4,"Springs 15, The Springs, Dubai",3,2,2024-08-15T06:07:22Z,Residential for Sale,2999999,TRUE,sell,1647 sqft,NO
5,"Noor Townhouses, Town Square, Dubai",3,3,2024-08-09T08:28:59Z,Residential for Sale,2449999,TRUE,sell,2105 sqft,NO
6,"The Residences 1, The Residences, Downtown Dubai, Dubai",7,5,2024-08-07T07:26:56Z,Residential for Sale,25000000,TRUE,sell,7059 sqft,YES
7,"Vida Residences Dubai Marina, Dubai Marina, Dubai",3,2,2024-08-16T05:03:07Z,Residential for Sale,4980000,TRUE,sell,1095 sqft,NO
8,"Anya 2, Arabian Ranches 3, Dubai",4,3,2024-08-06T12:33:43Z,Residential for Sale,2800000,TRUE,sell,1991 sqft,NO
9,"Madinat Hind, Mulberry, Damac Hills 2, Dubai",3,4,2024-08-13T07:06:16Z,Residential for Sale,1870000,TRUE,sell,1881 sqft,NO
10,"East 40, Al Furjan, Dubai",1,1,2024-08-15T10:05:41Z,Residential for Sale,950000,TRUE,sell,669 sqft,YES
11,"Meadows 3, Meadows, Dubai",5,5,2024-08-15T12:58:08Z,Residential for Sale,9999990,TRUE,sell,3970 sqft,YES
12,"Aurum Villas, Aster, Damac Hills 2, Dubai",5,3,2024-08-15T13:28:00Z,Residential for Sale,1850000,TRUE,sell,1881 sqft,NO
13,"Al Sahab 2, Al Sahab, Dubai Marina, Dubai",4,3,2024-08-15T05:42:41Z,Residential for Sale,5495000,TRUE,sell,2204 sqft,NO
14,"Princess Tower, Dubai Marina, Dubai",3,2,2024-08-07T10:32:26Z,Residential for Sale,2100000,TRUE,sell,1188 sqft,YES
15,"Bliss, Arabian Ranches 3, Dubai",4,3,2024-08-12T11:48:09Z,Residential for Sale,2700000,TRUE,sell,2176 sqft,NO
16,"Bloom Towers B, Bloom Towers, Jumeirah Village Circle, Dubai",1,1,2024-08-13T06:11:46Z,Residential for Sale,975000,TRUE,sell,654 sqft,YES
17,"Parkside 3, EMAAR South, Dubai South (Dubai World Central), Dubai",5,4,2024-08-17T11:10:09Z,Residential for Sale,2950000,TRUE,sell,2555 sqft,NO
18,"Fairfield Tower, Park Island, Dubai Marina, Dubai",2,1,2024-08-05T10:45:15Z,Residential for Sale,1995000,TRUE,sell,909 sqft,NO
19,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",3,2,2024-08-05T10:22:28Z,Residential for Sale,7500000,TRUE,sell,2036 sqft,NO
20,"Marina Residences 2, Marina Residences, Palm Jumeirah, Dubai",5,4,2024-08-18T06:24:51Z,Residential for Sale,22000000,TRUE,sell,6820 sqft,NO
21,"Westwood Grande II, Jumeirah Village Circle, Dubai",1,studio,2024-08-12T07:30:16Z,Residential for Sale,657000,TRUE,sell,444 sqft,NO
22,"Crest Grande Tower A, Sobha Hartland, Mohammed Bin Rashid City, Dubai",4,2,2024-08-05T12:42:46Z,Residential for Sale,2692000,TRUE,sell,1330 sqft,NO
23,"The Aldea, The Villa, Dubai",6,4,2024-08-15T09:29:36Z,Residential for Sale,6000000,TRUE,sell,6135 sqft,NO
24,"Orchid, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",1,1,2024-08-19T13:45:25Z,Residential for Sale,1500000,FALSE,sell,686 sqft,NO
25,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3,3,2024-08-14T07:04:07Z,Residential for Sale,7300000,TRUE,sell,1559 sqft,YES
26,"Waters Edge, Business Bay, Dubai",2,1,2024-07-24T11:04:11Z,Residential for Sale,1600000,TRUE,sell,909 sqft,YES
27,"Springs 5, The Springs, Dubai",4,3,2024-08-04T06:49:00Z,Residential for Sale,5699000,TRUE,sell,2703 sqft,NO
28,"Al Seef Tower 3, JLT Cluster U, Jumeirah Lake Towers, Dubai",3,2,2024-08-08T08:51:06Z,Residential for Sale,2100000,TRUE,sell,1664 sqft,NO
29,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",2,1,2024-07-30T08:22:29Z,Residential for Sale,3500000,TRUE,sell,968 sqft,NO
30,"Carson B, Carson, DAMAC Hills, Dubai",2,1,2024-07-26T11:24:58Z,Residential for Sale,899999,TRUE,sell,623 sqft,YES
31,"Sharjah Sustainable City, Sharjah",6,5,2024-08-08T10:06:37Z,Residential for Sale,3750000,FALSE,sell,4508 sqft,PARTLY
32,"Seerah, Al Mamsha, Muwaileh, Sharjah",4,3,2024-08-04T10:00:30Z,Residential for Sale,1449000,FALSE,sell,1859 sqft,PARTLY
33,"Souks Residential, Al Mamsha, Muwaileh, Sharjah",1,1,2024-08-08T10:09:07Z,Residential for Sale,749000,FALSE,sell,625 sqft,NO
